   F     ;Na2O;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;   Cr2O3 ;total na corr;  Total  ;Comment  
0.864336842;4.080065661;2.398892324;4.058092125;0.361672863;70.88481615;1.935051985;0.157337912;0.698825532;14.46282783;0.004086699;0;0.061300485;0.478143785;0;100;99.23833394;Grid 3-7 grid mitte 
0.817246902;4.253398562;2.401105831;3.980913969;0.345329856;70.68831262;2.022356957;0.10228245;0.657240694;14.50689204;0.019241253;0.011139673;0.123549098;0.493183695;0;100;99.20597618;Grid 3-8 grid mitte 
0.823832631;4.039180868;2.379847785;3.869671195;0.367618764;70.94431136;1.995935669;0.121181808;0.679229128;14.59069707;0;0.041751716;0.070265082;0.506112259;0;100;99.24596631;Grid 3-9 grid mitte 
0.751031566;3.668666833;2.373015842;4.301916942;0.345535497;70.64981384;2.443139222;0.084351313;0.678875624;14.21573687;0;0.025407022;0.122969986;0.733754791;0;100;99.31513382;Grid 3-10 grid mitte 
0.80094078;6.08694372;2.406822045;3.859714621;0.358973458;68.9539017;2.177838975;0.137989797;0.652951722;14.27994417;0.011999113;0.011999113;0.08899342;0.588956454;0;100;98.86369024;Grid 4-1 grid mitte 
0.831418149;4.194239835;2.371987073;4.142826219;0.374953283;70.18351097;2.403572811;0.114116217;0.705075195;14.29101833;0.013245632;0;0.136531902;0.672470562;0;100;99.21701992;Grid 4-2 grid mitte 
0.788382135;4.224352428;2.480693981;3.898963788;0.365048537;70.65785411;1.96328625;0.112479941;0.665676744;14.61625711;0;0.005112725;0.109412307;0.52763318;0;100;99.21139851;Grid 4-3 grid mitte 
0.822605428;4.090840989;2.521908205;4.055873414;0.369458021;70.70630454;1.870763958;0.080627579;0.657267861;14.60379786;0;0;0.127575284;0.522548361;0;100;99.23632241;Grid 4-4 grid mitte 
0.806069514;4.183607198;2.352989265;4.115947875;0.362782234;70.44497269;2.129817048;0.101905122;0.687859573;14.4582987;0.009171461;0;0.164067246;0.603278322;0;100;99.21900482;Grid 4-5 grid mitte 
0.786000369;4.098779865;2.393682058;3.9218462;0.361906785;70.72779975;2.119448466;0.089712104;0.705463366;14.42835697;0;0.012233469;0.172288019;0.595362147;0;100;99.23484038;Grid 4-6 grid mitte 
0.868961617;4.377489718;2.466467165;3.944922936;0.351044213;70.59651747;1.862060607;0.11192714;0.677667959;14.60140421;0.021367909;0;0.119049777;0.446691042;0;100;99.18281086;Grid 4-7 grid mitte 
0.848256587;4.437574383;2.537632985;3.732532889;0.362955943;70.95584783;1.592520178;0.15904811;0.684110781;14.73845819;0.01223447;0;0.054035576;0.323193916;0;100;99.17159427;Grid 4-8 grid mitte 
0.909060339;4.302953139;2.548833977;3.795225003;0.365866213;70.99231302;1.560281815;0.089683083;0.672623121;14.77426876;0;0.031592904;0.112103853;0.310833412;0;100;99.19672534;Grid 4-9 grid mitte 
0.775591035;4.082411185;2.395327984;4.155244316;0.338681573;70.28512369;2.243893323;0.100274303;0.678386353;14.49270635;0.009208865;0.017394522;0.168829183;0.659968624;0;100;99.23789608;Grid 4-10 grid mitte 
0.801710599;6.220778506;2.507222284;3.759332095;0.365323806;69.16230221;1.919701533;0.052046131;0.662587286;14.32669851;0;0.023020404;0.125110892;0.49343736;0;100;98.83870598;Grid 5-1 grid mitte 
0.784661357;3.9788682;2.427070252;4.083690349;0.347159359;70.65911049;2.28597332;0.106584014;0.685182944;14.30052936;0.007105601;0.008120687;0.146172361;0.587734703;0;100;99.25722547;Grid 5-2 grid mitte 
0.778180303;4.047016209;2.4137812;4.130654191;0.359629017;69.9163509;2.725662862;0.13816256;0.658303964;14.23988682;0;0.002031802;0.15543288;0.844213879;0;100;99.24450361;Grid 5-3 grid mitte 
0.779756489;4.276468034;2.398785162;4.175177369;0.353059212;70.11957702;2.384662793;0.095830358;0.679891169;14.26157469;0;0.019166072;0.140214944;0.723267015;0;100;99.20166958;Grid 5-4 grid mitte 
0.809654187;4.347941954;2.442168966;4.040143917;0.373842837;70.33223129;2.211564825;0.114794132;0.698923564;14.40412386;0;0;0.131048168;0.519113287;0;100;99.18832684;Grid 5-5 grid mitte 
0.846289916;4.233264888;2.489147678;3.947323468;0.364290263;70.48762914;2.252714164;0.117709389;0.66769636;14.33416229;0.006088417;0;0.080164153;0.611885874;0;100;99.20973473;Grid 5-6 grid mitte 
0.787773776;4.092105113;2.398944172;4.027417093;0.356228451;70.27674891;2.490545774;0.125188856;0.67174508;14.26745838;0.028498276;0;0.147580358;0.741972975;0;100;99.23608642;Grid 5-7 grid mitte 
0.849254691;4.588379014;2.477333095;3.665473072;0.357258584;70.94849256;1.557647426;0.087783538;0.645106929;14.78233947;0;0.035725858;0.125550874;0.31744977;0;100;99.14344208;Grid 5-8 grid mitte 
0.861056587;4.409338269;2.464685106;3.618889071;0.371796676;71.01929357;1.548471869;0.09090633;0.706822252;14.94438781;0.011235614;0;0.078649297;0.320725704;0;100;99.17686538;Grid 5-9 grid mitte 
0.808401866;4.366874753;2.419089065;3.751473982;0.371069709;70.74688666;1.847193167;0.134563741;0.671799281;14.65113698;0.005097111;0.025485557;0.151893919;0.473011937;0;100;99.18479246;Grid 5-10 grid mitte 
0.843933693;5.993330733;2.451330643;3.723769405;0.375193406;69.44900351;1.808573039;0.176029078;0.682992822;14.37704919;0.00100588;0;0.151887947;0.405369819;0;100;98.8811659;Grid 6-1 grid mitte 
0.860014839;3.859555398;2.45206612;4.071760734;0.375744579;70.80686462;2.002605983;0.129002226;0.688011872;14.58237066;0;0.006142963;0.132073707;0.481198779;0;100;99.27949877;Grid 6-2 grid mitte 
0.829245385;3.923385853;2.464362816;4.266142309;0.371940945;70.17692313;2.429810925;0.105688137;0.697135213;14.2638336;0.02438957;0.012194785;0.131093939;0.737784497;0;100;99.26758291;Grid 6-3 grid mitte 
0.843144333;3.998226609;2.441161572;4.124406397;0.363231855;70.23260398;2.45536617;0.097402955;0.701098357;14.29591295;0.001014614;0.018263054;0.154221346;0.711244498;0;100;99.25361164;Grid 6-4 grid mitte 
0.803494431;4.137534524;2.39019303;3.95457234;0.364210228;70.44069299;2.392222057;0.096378751;0.683781877;14.25492456;0.010145132;0.058841764;0.135944765;0.696970548;0;100;99.22760566;Grid 6-5 grid mitte 
0.805017436;4.239461295;2.436424453;3.927385949;0.38673404;70.51281044;2.106682797;0.144516404;0.693068109;14.47199487;0;0;0.156729058;0.545498541;0;100;99.20857799;Grid 6-6 grid mitte 
0.808721133;3.948578076;2.369125133;4.2055536;0.354452083;70.26808847;2.6023709;0.116113614;0.651865901;14.15873107;0;0;0.096761345;0.840295888;0;100;99.26288003;Grid 6-7 grid mitte 
0.855758717;4.08972118;2.491887882;3.761263312;0.372866298;70.87923448;2.060952243;0.113082402;0.680531932;14.45824727;0.007131323;0.010187604;0.116138683;0.548093083;0;100;99.23653145;Grid 6-8 grid mitte 
0.835423773;4.1937849;2.440129363;3.791460387;0.343938167;71.44450488;1.56298528;0.053931133;0.677700649;14.66418026;0;0;0.08344062;0.337832756;0;100;99.21710485;Grid 6-9 grid mitte 
0.836336088;4.350106954;2.54283068;3.717390921;0.363847195;71.00144915;1.555831105;0.013323982;0.664149246;14.97308077;0;0;0.113766306;0.302351895;0;100;99.18792267;Grid 6-10 grid mitte 
0.827140085;6.161410742;2.436083709;3.844539054;0.383849418;69.1342019;1.906149867;0.170263915;0.675010788;14.30317635;0;0;0.117875018;0.475529988;0;100;98.84978875;Grid 7-1 grid mitte 
0.858466082;4.268636371;2.499590978;3.765777227;0.368792111;70.55915073;1.963817994;0.210006619;0.679192139;14.57138609;0.034830366;0.031757098;0.138297042;0.494796083;0;100;99.20313159;Grid 7-2 grid mitte 
0.800470394;4.175321537;2.448377558;3.902293172;0.38185705;70.68031061;2.100213777;0.126605011;0.686117481;14.4339923;0;0.028588228;0.115373922;0.543176339;0;100;99.22055159;Grid 7-3 grid mitte 
0.818630378;4.291519506;2.450800151;4.055478604;0.365532719;70.19551856;2.333707497;0.127274624;0.692373952;14.25883062;0.006109182;0;0.191421034;0.640445906;0;100;99.19885977;Grid 7-4 grid mitte 
0.843072635;4.340138067;2.521082101;3.934677954;0.375263935;70.68691148;1.962762587;0.085425936;0.661034032;14.38715146;0;0.018305558;0.109833347;0.513572594;0;100;99.18978366;Grid 7-5 grid mitte 
0.811130625;4.260090029;2.432376692;4.006924375;0.366480795;70.43334511;2.1572623;0.107609319;0.689308754;14.40340589;0.003045547;0;0.147201428;0.605048626;0;100;99.20472702;Grid 7-6 grid mitte 
0.840419023;4.256619105;2.426057351;4.00862472;0.370562346;70.32597725;2.330857632;0.083939537;0.675610908;14.26767399;0;0.010236529;0.151500628;0.689942048;0;100;99.20537497;Grid 7-7 grid mitte 
0.829635925;4.355019331;2.329715641;3.962455468;0.371448311;70.29149049;2.374615986;0.109189476;0.664321017;14.28647349;0;0.040818496;0.080616529;0.736773847;0;100;99.18700563;Grid 7-8 grid mitte 
0.852407711;4.162149214;2.464437127;3.935758093;0.346672993;70.3858334;2.320669798;0.122355174;0.690287106;14.39610583;0.01427477;0;0.129492559;0.616874002;0;100;99.2230106;Grid 7-9 grid mitte 
0.829343733;4.178013206;2.455347702;3.978194384;0.349304873;70.77202703;2.092765159;0.145033017;0.674097123;14.31128619;0;0.008170874;0.082730101;0.55153401;0;100;99.22004911;Grid 7-10 grid mitte 
0.801377891;6.102892021;2.473058343;3.944137141;0.362111704;68.95141785;2.192216027;0.07201085;0.679988172;14.0925234;0;0;0.177969673;0.568885717;0;100;98.86071302;Grid 8-1 grid mitte 
0.80393876;4.423005989;2.482211932;4.014592664;0.376463709;70.26710423;2.224094538;0.098962005;0.651924959;14.32398501;0.024485444;0;0.119366542;0.613156338;0;100;99.17431389;Grid 8-2 grid mitte 
0.894803303;4.746443924;2.531513473;3.523801081;0.377623412;70.79515446;1.699305356;0.0892751;0.664945574;14.68421476;0;0.011287656;0.098510455;0.344786594;0;100;99.11393455;Grid 8-3 grid mitte 
0.858267975;4.722967926;2.509489834;3.763724485;0.355145369;70.48410935;1.836958805;0.098991669;0.69192115;14.51503616;0.012246392;0.034698111;0.129607649;0.428623721;0;100;99.11831704;Grid 8-4 grid mitte 
