   F     ;Na2O;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;total plus Na;  Total  ;Comment  
0.410238577;7.862225551;2.373954117;3.631817988;0.129707785;68.74412071;1.460972186;0.07038407;0.654571847;14.55542558;0;0;0.031170088;0.277514331;100;99.02636388;CC1-decpmp-exp2-1 
0.318837207;7.692130964;2.332808904;3.79406281;0.115940802;67.80537963;2.31581758;0.081958153;0.659663186;14.30369675;0.011993876;0.019989794;0.12293723;0.584701461;100;99.04742792;CC1-decpmp-exp2-2 
0.381571532;8.234550387;2.372553697;3.560332795;0.079118507;65.66435445;2.490730707;0.131196511;0.689032057;15.77062181;0.030045002;0;0.149223512;0.624936052;100;98.98025621;CC1-decpmp-exp2-3 
0.446305514;7.744266968;2.353066123;3.683016705;0.162383479;67.91116197;2.158803679;0.097629331;0.668462053;14.23296177;0.010958394;0;0.143455344;0.612673864;100;99.04097154;CC1-decpmp-exp2-4 
0.437405803;7.522472176;2.291409946;3.935658124;0.245543712;67.91321556;2.215858035;0.079528328;0.65014408;13.99400339;0.035787748;0.096428098;0.14315099;0.678973099;100;99.06843799;CC1-decpmp-exp2-5 
0.614205906;7.8580564;2.474918069;3.392708564;0.294537366;68.46837718;1.47871831;0.163855258;0.665473502;14.4232837;0.019099693;0;0.120629638;0.350831197;100;99.02688018;CC1-decpmp-exp2-6 
0.63031468;7.902020729;2.386191289;3.720857612;0.342170826;67.91290504;1.846922063;0.080039959;0.666332662;14.21409629;0.011005494;0.003001498;0.115057442;0.511255241;100;99.02143576;CC1-decpmp-exp2-7 
0.703293221;7.817421225;2.360697502;3.679999336;0.339105718;67.93752317;1.87110108;0.09631405;0.681221251;14.26350887;0.012039256;0;0.111363121;0.498625864;100;99.03191233;CC1-decpmp-exp2-8 
0.672479495;7.862315351;2.3561763;3.761088885;0.333741681;67.87046768;1.911520467;0.114911058;0.633509658;14.19401371;0;0;0.120906417;0.526592413;100;99.02635276;CC1-decpmp-exp2-9 
0.54012401;7.818835694;2.372544724;3.735857733;0.28506545;67.8965887;2.04246894;0.149034217;0.65314996;14.07823229;0.003000689;0.041009416;0.071016305;0.604138707;100;99.03173716;CC1-decpmp-exp2-10 
0.568080087;7.679051741;2.428886183;3.920493116;0.297263509;68.39282257;1.641825504;0.040199336;0.687620217;14.0940987;0.021157545;0;0.089919567;0.444308448;100;99.04904762;CC1-decpmp-exp2-11 
0.348712824;7.619995059;2.348331787;3.913554205;0.137492485;67.42810792;2.414089063;0.181330668;0.683477135;14.27231771;0.000996322;0.001992645;0.117566038;0.709381516;100;99.05636103;CC1-decpmp-exp2-12 
0.399097483;7.847490866;2.415590031;3.644890299;0.097023699;68.48072707;1.452354752;0.108026386;0.64615783;14.68458685;0.004000977;0;0.112027364;0.298072807;100;99.02818858;CC1-decpmp-exp2-13 
0.401713051;7.887197318;2.379145547;3.49590783;0.11850535;68.6055592;1.571702314;0.100428263;0.64575373;14.551051;0;0;0.091389719;0.347481789;100;99.02327145;CC1-decpmp-exp2-14 
0.412456256;7.822004487;2.415957536;3.726054097;0.160399655;68.45677946;1.624918244;0.09564203;0.655546416;14.33634183;0.006973898;0;0.099627115;0.396515917;100;99.03134475;CC1-decpmp-exp2-15 
0.452278951;7.824148895;2.339442893;3.561196432;0.122075292;68.79743205;1.302803527;0.104064183;0.659406701;14.65103629;0.020012343;0.051031475;0.093057395;0.240148116;100;99.03107919;CC1-decpmp-exp2-16 
0.358158325;7.545408062;2.253412792;4.038235109;0.108442382;66.85821035;2.882179628;0.145253098;0.685475238;14.22485479;0.015918148;0.0189028;0.126350298;0.915293496;100;99.06559768;CC1-decpmp-exp2-17 
0.437603891;7.773481266;2.221988708;3.8974721;0.191826363;67.98346298;2.179027596;0.149864346;0.661401315;13.88443214;0;0.034968347;0.161853494;0.649412167;100;99.03735373;CC1-decpmp-exp2-18 
0.521180496;7.710272775;2.312489797;4.007321029;0.286450349;67.56647609;2.233914875;0.106424262;0.656448717;14.08878193;0.006962335;0;0.096478069;0.691260391;100;99.04518129;CC1-decpmp-exp2-19 
0.43168697;7.656699036;2.328132486;4.070758507;0.234202586;67.62301954;2.11973188;0.078398323;0.663904788;14.25757861;0;0.028779131;0.123055596;0.618255132;100;99.05181571;CC1-decpmp-exp2-20 
