   F     ;Na2O;   K2O   ;   FeO   ;   Cl    ;   SiO2  ;   CaO   ;   MnO   ;   TiO2  ;   Al2O3 ;   SO3   ;   NiO   ;   P2O5  ;   MgO   ;Total +Na;  Total  ;Comment  
0.575927161;8.130891585;2.342719755;3.631112959;0.368552319;67.7889881;1.902304866;0.135512273;0.664215461;14.10764893;0;0.039011109;0.088288299;0.550261958;100;98.37472414;exp8-glass-1 
0.698334398;8.111347068;2.329841312;3.612181026;0.37903696;67.72092679;1.917844616;0.128748967;0.636534894;14.12221672;0;0;0.139048885;0.582975324;100;98.37863087;exp8-glass-2 
0.589153578;7.989222722;2.324740383;3.772433643;0.387628096;67.73004125;1.908322933;0.078142534;0.661126964;14.2065183;0;0;0.118241992;0.569617944;100;98.40304219;exp8-glass-3 
0.785436547;8.255679409;2.359385762;3.825670699;0.354779432;67.12816501;2.206605024;0.09535979;0.655214038;14.03019356;0.00512687;0.011279115;0.092283667;0.605996082;100;98.34978043;exp8-glass-4 
0.70804718;8.260687048;2.358104956;3.874762539;0.370442075;67.25627285;1.988689036;0.119034019;0.648530171;14.07474655;0.016418485;0;0.106720155;0.599274715;100;98.34877945;exp8-glass-5 
0.695391246;8.105334542;2.343726053;3.752022103;0.351301356;67.5971802;2.121200854;0.026785441;0.650062039;13.92842911;0.016483348;0.008241674;0.164833481;0.610914088;100;98.37983271;exp8-glass-6 
0.789545486;8.126924564;2.42517943;3.75034106;0.365987231;67.44342779;2.007789499;0.071963781;0.637393492;14.13060249;0;0;0.119254266;0.545896684;100;98.3755171;exp8-glass-7 
0.59974701;8.288942747;2.422567835;3.762515428;0.374201126;67.47512681;1.864854377;0.111747733;0.645881395;13.9951221;0.00717646;0;0.168134204;0.620251181;100;98.34313145;exp8-glass-8 
0.860977579;8.018724717;2.368968035;3.823723254;0.381860448;67.47975758;2.028057769;0.110565492;0.631656559;14.02953239;0.004095018;0;0.13718311;0.573302549;100;98.39714506;exp8-glass-9 
0.842101783;8.124641529;2.42052915;3.655954084;0.361487595;67.39073564;2.158656035;0.107830106;0.651088452;14.04050681;0.015404301;0;0.066751971;0.599740782;100;98.37597346;exp8-glass-10 
0.629742806;8.343703813;2.303586877;3.870764413;0.376409788;67.35991617;2.027689784;0.076922981;0.651281241;14.07690556;0.019487155;0;0.068717863;0.545640347;100;98.33218531;exp8-glass-11 
0.704796069;8.199287629;2.377662319;3.721692032;0.365715402;67.27217012;2.019117807;0.143417805;0.663819553;14.17992323;0.00717089;0.011268542;0.147515456;0.566500329;100;98.36105252;exp8-glass-12 
0.768873869;8.262714073;2.30457673;3.748260111;0.370122793;67.29077767;2.163480195;0.069525829;0.628799773;14.11169832;0;0;0.115535568;0.573588086;100;98.34837427;exp8-glass-13 
0.75545276;8.158528771;2.292053952;3.834822105;0.360767236;67.39358096;2.028930269;0.111005303;0.644447456;14.0730057;0.01644523;0.054474825;0.085309631;0.589972631;100;98.36919977;exp8-glass-14 
0.690597577;8.230443103;2.399672885;3.885379837;0.363742047;67.19289002;2.05130022;0.100413297;0.651661808;14.08040341;0;0;0.139349066;0.587110403;100;98.35482489;exp8-glass-15 
0.887328025;7.922022104;2.361420941;3.860133363;0.361086087;67.35691653;2.098812878;0.100529649;0.662675034;14.1162092;0.003077438;0;0.122071717;0.602152082;100;98.41647485;exp8-glass-16 
